Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x200010d8	0x0000
0x200010dc	0x0000
0x200010e0	0x0000
0x200010e4	0x0000
0x200010e8	0x0000
0x200010ec	0x0000
0x200010f0	0x0000
0x200010f4	0x0000
0x200010f8	0x0000
0x200010fc	0x0000
0x20001100	0x0f98
0x20001104	0x0c07
0x20001108	0x02c0
0x2000110c	0x0000
0x20001110	0x0000
0x20001114	0x0000
0x20001118	0x0000
0x2000111c	0x0000
0x20001120	0x0000
0x20001124	0x0000
0x20001128	0x0000
0x2000112c	0x0000
0x20001130	0x0000
0x20001134	0x0000
0x20001138	0x0000
0x2000113c	0x0000
0x20001140	0x0000
0x20001144	0x0000
0x20001148	0x0000
0x2000114c	0x0000
0x20001150	0x0000
0x20001154	0x0000
0x20001158	0x0000
0x2000115c	0x0000
0x20001160	0x0000
0x20001164	0x0000
0x20001168	0x0000
0x2000116c	0x0000
0x20001170	0x0000
0x20001174	0x0000
0x20001178	0x0000
0x2000117c	0x0000
0x20001180	0x0000
0x20001184	0x0000
0x20001188	0x0000
0x2000118c	0x0000
0x20001190	0x0000
0x20001194	0x0000
0x20001198	0x0000
0x2000119c	0x0000
0x200011a0	0x0000
0x200011a4	0x0000
0x200011a8	0x0000
0x200011ac	0x0000
0x200011b0	0x0000
0x200011b4	0x0000
0x200011b8	0x0000
0x200011bc	0x0000
0x200011c0	0x0000
0x200011c4	0x0000
0x200011c8	0x0000
0x200011cc	0x0000
0x200011d0	0x0000
0x200011d4	0x0000
0x200011d8	0x0000
0x200011dc	0x0000
0x200011e0	0x0000
0x200011e4	0x0000
0x200011e8	0x0000
0x200011ec	0x0000
0x200011f0	0x0000
0x200011f4	0x0000
0x200011f8	0x0000
0x200011fc	0x0000
0x20001200	0x0710
0x20001204	0x0000
0x20001208	0x0000
0x2000120c	0x0000
0x20001210	0x0000
0x20001214	0x0000
0x20001218	0x0000
0x2000121c	0x0000
0x20001220	0x0000
0x20001224	0x0000
